year	fit
1982	1.610516445
1983	1.609317751
1984	1.595246136
1985	1.571003216
1986	1.540190544
1987	1.506993025
1988	1.475806701
1989	1.450846413
1990	1.435770818
1991	1.433360538
1992	1.44528005
1993	1.471945792
1994	1.512512619
1995	1.564979283
1996	1.626402038
1997	1.693195023
1998	1.761487734
1999	1.827504416
2000	1.887928233
2001	1.940214708
2002	1.982824014
2003	2.015349802
2004	2.038532491
2005	2.054156373
2006	2.064841348
2007	2.073750512
2008	2.084243098
2009	2.099507676
2010	2.122212432
2011	2.154207712
2012	2.196310814
2013	2.248194953
2014	2.308394027
2015	2.374423375
2016	2.443005292
2017	2.510377636
2018	2.572655637
2019	2.626211642
2020	2.668035638
2021	2.696041138
2022	2.709286192
2023	2.708087498
2024	2.694015883
